county,code,age_group,year,deaths,pop,age,mx
"Alameda County, CA",6001,< 1 year,1999,110,19336,0,0.005688870500620604
"Alameda County, CA",6001,< 1 year,2000,104,19397,0,0.005361653863999587
"Alameda County, CA",6001,< 1 year,2001,133,22044,0,0.006033387769914716
"Alameda County, CA",6001,< 1 year,2002,91,21316,0,0.004269093638581347
"Alameda County, CA",6001,< 1 year,2003,97,21091,0,0.0045991181072495375
"Alameda County, CA",6001,< 1 year,2004,111,20339,0,0.0054574954520871235
"Alameda County, CA",6001,< 1 year,2005,105,19636,0,0.005347321246689753
"Alameda County, CA",6001,< 1 year,2006,91,19532,0,0.004659021093590007
"Alameda County, CA",6001,< 1 year,2007,105,19838,0,0.00529287226534933
"Alameda County, CA",6001,< 1 year,2008,89,19782,0,0.004499039530886664
"Alameda County, CA",6001,< 1 year,2009,77,18907,0,0.0040725657164013326
"Alameda County, CA",6001,< 1 year,2010,94,19010,0,0.004944765912677538
"Alameda County, CA",6001,< 1 year,2011,79,19191,0,0.004116512948778073
"Alameda County, CA",6001,< 1 year,2012,75,18970,0,0.003953610964681075
"Alameda County, CA",6001,< 1 year,2013,86,19469,0,0.00441727875083466
"Alameda County, CA",6001,< 1 year,2014,76,19475,0,0.003902439024390244
"Alameda County, CA",6001,< 1 year,2015,75,19793,0,0.003789218410549184
"Alameda County, CA",6001,< 1 year,2016,71,19966,0,0.0035560452769708506
"Alameda County, CA",6001,1-4 years,1999,17,79850,1,2.128991859737007e-4
"Alameda County, CA",6001,1-4 years,2000,22,78981,1,2.7854800521644445e-4
"Alameda County, CA",6001,1-4 years,2001,15,77953,1,1.9242363988557207e-4
"Alameda County, CA",6001,1-4 years,2002,13,77912,1,1.668549132354451e-4
"Alameda County, CA",6001,1-4 years,2003,13,78092,1,1.6647031706192695e-4
"Alameda County, CA",6001,1-4 years,2004,16,78711,1,2.0327527283353026e-4
"Alameda County, CA",6001,1-4 years,2005,10,79356,1,1.2601441604919602e-4
"Alameda County, CA",6001,1-4 years,2006,21,78080,1,2.689549180327869e-4
"Alameda County, CA",6001,1-4 years,2007,18,77934,1,2.3096466240665178e-4
"Alameda County, CA",6001,1-4 years,2008,15,78653,1,1.9071109811450294e-4
"Alameda County, CA",6001,1-4 years,2009,18,79065,1,2.2766078542970974e-4
"Alameda County, CA",6001,1-4 years,2010,12,78642,1,1.5259021896696422e-4
"Alameda County, CA",6001,1-4 years,2011,12,78591,1,1.5268923922586556e-4
"Alameda County, CA",6001,1-4 years,2012,15,78511,1,1.9105603036517177e-4
"Alameda County, CA",6001,1-4 years,2013,10,77651,1,1.2878134215914798e-4
"Alameda County, CA",6001,1-4 years,2014,11,78026,1,1.4097864814292672e-4
"Alameda County, CA",6001,1-4 years,2016,10,77826,1,1.2849176367794824e-4
"Alameda County, CA",6001,5-9 years,1999,14,105925,5,1.321689874911494e-4
"Alameda County, CA",6001,5-9 years,2000,14,104648,5,1.3378182096170018e-4
"Alameda County, CA",6001,5-9 years,2001,16,101659,5,1.573889178528217e-4
"Alameda County, CA",6001,5-9 years,2002,15,97100,5,1.544799176107106e-4
"Alameda County, CA",6001,5-9 years,2003,10,93360,5,1.0711225364181663e-4
"Alameda County, CA",6001,5-9 years,2004,13,89894,5,1.4461476850512826e-4
"Alameda County, CA",6001,5-9 years,2006,15,87078,5,1.7225935368290498e-4
"Alameda County, CA",6001,5-9 years,2007,11,87486,5,1.2573440321880073e-4
"Alameda County, CA",6001,10-14 years,1999,16,94557,10,1.6921010607358523e-4
"Alameda County, CA",6001,10-14 years,2000,19,96769,10,1.9634387045438105e-4
"Alameda County, CA",6001,10-14 years,2001,17,99376,10,1.7106746095636773e-4
"Alameda County, CA",6001,10-14 years,2002,13,100049,10,1.2993633119771312e-4
"Alameda County, CA",6001,10-14 years,2003,19,99504,10,1.9094709760411643e-4
"Alameda County, CA",6001,10-14 years,2004,13,98191,10,1.3239502602071474e-4
"Alameda County, CA",6001,10-14 years,2005,22,96345,10,2.2834604805646374e-4
"Alameda County, CA",6001,10-14 years,2006,13,94701,10,1.3727415761185204e-4
"Alameda County, CA",6001,10-14 years,2008,15,92215,10,1.626633411050263e-4
"Alameda County, CA",6001,10-14 years,2009,13,91700,10,1.4176663031624864e-4
"Alameda County, CA",6001,10-14 years,2010,11,91070,10,1.2078620841111233e-4
"Alameda County, CA",6001,10-14 years,2011,11,91122,10,1.2071728012993569e-4
"Alameda County, CA",6001,10-14 years,2013,12,92318,10,1.299854849541801e-4
