"home","mean.price","med.price","total.tickets","team","away.med.price","standing"
"Golden State Warriors",746.582557349193,285,13881,"Golden State Warriors",340,1
"Los Angeles Lakers",638.904890991854,279.97,45163,"Los Angeles Lakers",267.6,29
"San Antonio Spurs",331.662204020849,183.98,26856,"San Antonio Spurs",168,2
"Oklahoma City Thunder",234.073525112942,169.97,19271,"Oklahoma City Thunder",156.86,4
"New York Knicks",264.887780469541,165,73917,"New York Knicks",119.89,19
"Cleveland Cavaliers",195.735470702583,126,12272,"Cleveland Cavaliers",271.6,3
"Los Angeles Clippers",362.909042381493,125,56796,"Los Angeles Clippers",179.05,6
"Miami Heat",212.545227596422,120.37,57184,"Miami Heat",147,8
"Chicago Bulls",183.41401948396,119.01,68046,"Chicago Bulls",149.26,10
"Orlando Magic",195.55187113857,117.975,14965,"Orlando Magic",95,21
"Minnesota Timberwolves",208.171428571429,117,34,"Minnesota Timberwolves",82.5,27
"Toronto Raptors",178.922771109707,112,42429,"Toronto Raptors",110,5
"Denver Nuggets",171.96415826801,108.78,11813,"Denver Nuggets",90.1,24
"Sacramento Kings",163.116496583144,106,6446,"Sacramento Kings",99.01,22
"Houston Rockets",188.068234345606,105,15255,"Houston Rockets",117,15
"Atlanta Hawks",181.645768154862,100,24650,"Atlanta Hawks",93.01,9
"Portland Trail Blazers",158.924484967965,100,17844,"Portland Trail Blazers",106,17
"Brooklyn Nets",195.368775097696,99.75,31879,"Brooklyn Nets",100,28
"Memphis Grizzlies",151.09369382864,87.97,24368,"Memphis Grizzlies",114.44,7
"Boston Celtics",171.939935671138,86.52,45188,"Boston Celtics",119.89,11
"Dallas Mavericks",149.954425185185,84.01,49171,"Dallas Mavericks",91,12
"Charlotte Hornets",124.985329349639,80.13,26535,"Charlotte Hornets",80,16
"Phoenix Suns",132.971847173982,75,14109,"Phoenix Suns",85,26
"Indiana Pacers",119.981126957061,70,27407,"Indiana Pacers",100,14
"Washington Wizards",132.470306481828,70,44848,"Washington Wizards",104.65,20
"Milwaukee Bucks",107.929779393939,59.4,17338,"Milwaukee Bucks",77.49,23
"Utah Jazz",143.480808486239,58.2,9412,"Utah Jazz",92,18
"New Orleans Pelicans",124.516042347406,55.2,32299,"New Orleans Pelicans",75.95,25
"Philadelphia 76ers",89.5355728346457,49.99,34636,"Philadelphia 76ers",73.53,30
"Detroit Pistons",88.3412261580382,45,23802,"Detroit Pistons",86.06,13
