"team","away","date","med.price","home.away.date","home.standing","away.standing","ave.standing","home.gt.away"
"Golden State Warriors","Boston Celtics","2016-04-01",278.89,"Golden State Warriors, Boston Celtics (04/01/2016)",1,11,6,0
"Golden State Warriors","Dallas Mavericks","2016-03-25",300,"Golden State Warriors, Dallas Mavericks (03/25/2016)",1,12,6.5,0
"Golden State Warriors","Houston Rockets","2016-02-09",250,"Golden State Warriors, Houston Rockets (02/09/2016)",1,15,8,0
"Golden State Warriors","Memphis Grizzlies","2016-04-13",325,"Golden State Warriors, Memphis Grizzlies (04/13/2016)",1,7,4,0
"Golden State Warriors","Orlando Magic","2016-03-07",222.22,"Golden State Warriors, Orlando Magic (03/07/2016)",1,21,11,0
"Golden State Warriors","Phoenix Suns","2016-03-12",300,"Golden State Warriors, Phoenix Suns (03/12/2016)",1,26,13.5,0
"Golden State Warriors","Washington Wizards","2016-03-29",228.435,"Golden State Warriors, Washington Wizards (03/29/2016)",1,20,10.5,0
"Golden State Warriors","Los Angeles Clippers","2016-03-23",325,"Golden State Warriors, Los Angeles Clippers (03/23/2016)",1,6,3.5,0
"Golden State Warriors","New Orleans Pelicans","2016-03-14",220.995,"Golden State Warriors, New Orleans Pelicans (03/14/2016)",1,25,13,0
"Golden State Warriors","New York Knicks","2016-03-16",245,"Golden State Warriors, New York Knicks (03/16/2016)",1,19,10,0
"Golden State Warriors","Oklahoma City Thunder","2016-02-06",639.99,"Golden State Warriors, Oklahoma City Thunder (02/06/2016)",1,4,2.5,0
"Golden State Warriors","Oklahoma City Thunder","2016-03-03",350,"Golden State Warriors, Oklahoma City Thunder (03/03/2016)",1,4,2.5,0
"Golden State Warriors","Portland Trail Blazers","2016-03-11",297.99,"Golden State Warriors, Portland Trail Blazers (03/11/2016)",1,17,9,0
"Golden State Warriors","Portland Trail Blazers","2016-04-03",281.97,"Golden State Warriors, Portland Trail Blazers (04/03/2016)",1,17,9,0
"Golden State Warriors","Utah Jazz","2016-03-09",238,"Golden State Warriors, Utah Jazz (03/09/2016)",1,18,9.5,0
"Golden State Warriors","Philadelphia 76ers","2016-03-27",245,"Golden State Warriors, Philadelphia 76ers (03/27/2016)",1,30,15.5,0
"Golden State Warriors","Atlanta Hawks","2016-03-01",222.11,"Golden State Warriors, Atlanta Hawks (03/01/2016)",1,9,5,0
"Golden State Warriors","Minnesota Timberwolves","2016-04-05",223.88,"Golden State Warriors, Minnesota Timberwolves (04/05/2016)",1,27,14,0
"Golden State Warriors","San Antonio Spurs","2016-04-07",360.555,"Golden State Warriors, San Antonio Spurs (04/07/2016)",1,2,1.5,0
"San Antonio Spurs","Chicago Bulls","2016-03-10",199.99,"San Antonio Spurs, Chicago Bulls (03/10/2016)",2,10,6,0
"San Antonio Spurs","Golden State Warriors","2016-03-19",494.935,"San Antonio Spurs, Golden State Warriors (03/19/2016)",2,1,1.5,1
"San Antonio Spurs","Golden State Warriors","2016-04-10",410.8,"San Antonio Spurs, Golden State Warriors (04/10/2016)",2,1,1.5,1
"San Antonio Spurs","Memphis Grizzlies","2016-03-25",138.885,"San Antonio Spurs, Memphis Grizzlies (03/25/2016)",2,7,4.5,0
"San Antonio Spurs","Miami Heat","2016-03-23",163.35,"San Antonio Spurs, Miami Heat (03/23/2016)",2,8,5,0
"San Antonio Spurs","Orlando Magic","2016-02-01",46.995,"San Antonio Spurs, Orlando Magic (02/01/2016)",2,21,11.5,0
"San Antonio Spurs","Toronto Raptors","2016-04-02",120.42,"San Antonio Spurs, Toronto Raptors (04/02/2016)",2,5,3.5,0
"San Antonio Spurs","Detroit Pistons","2016-03-02",99.99,"San Antonio Spurs, Detroit Pistons (03/02/2016)",2,13,7.5,0
"San Antonio Spurs","Los Angeles Clippers","2016-03-15",221.9,"San Antonio Spurs, Los Angeles Clippers (03/15/2016)",2,6,4,0
"San Antonio Spurs","New Orleans Pelicans","2016-02-03",39,"San Antonio Spurs, New Orleans Pelicans (02/03/2016)",2,25,13.5,0
"San Antonio Spurs","New Orleans Pelicans","2016-03-30",117.18,"San Antonio Spurs, New Orleans Pelicans (03/30/2016)",2,25,13.5,0
"San Antonio Spurs","Oklahoma City Thunder","2016-03-12",342.86,"San Antonio Spurs, Oklahoma City Thunder (03/12/2016)",2,4,3,0
"San Antonio Spurs","Oklahoma City Thunder","2016-04-12",199.99,"San Antonio Spurs, Oklahoma City Thunder (04/12/2016)",2,4,3,0
"San Antonio Spurs","Portland Trail Blazers","2016-03-17",144.64,"San Antonio Spurs, Portland Trail Blazers (03/17/2016)",2,17,9.5,0
"San Antonio Spurs","Sacramento Kings","2016-03-05",163.48,"San Antonio Spurs, Sacramento Kings (03/05/2016)",2,22,12,0
"San Antonio Spurs","Los Angeles Lakers","2016-02-06",426.09,"San Antonio Spurs, Los Angeles Lakers (02/06/2016)",2,29,15.5,0
"Cleveland Cavaliers","Boston Celtics","2016-02-05",160,"Cleveland Cavaliers, Boston Celtics (02/05/2016)",3,11,7,0
"Cleveland Cavaliers","Boston Celtics","2016-03-05",302.09,"Cleveland Cavaliers, Boston Celtics (03/05/2016)",3,11,7,0
"Cleveland Cavaliers","Charlotte Hornets","2016-04-03",156.6,"Cleveland Cavaliers, Charlotte Hornets (04/03/2016)",3,16,9.5,0
"Cleveland Cavaliers","Charlotte Hornets","2016-02-24",152,"Cleveland Cavaliers, Charlotte Hornets (02/24/2016)",3,16,9.5,0
"Cleveland Cavaliers","Chicago Bulls","2016-02-18",202,"Cleveland Cavaliers, Chicago Bulls (02/18/2016)",3,10,6.5,0
"Cleveland Cavaliers","Dallas Mavericks","2016-03-16",119,"Cleveland Cavaliers, Dallas Mavericks (03/16/2016)",3,12,7.5,0
"Cleveland Cavaliers","Denver Nuggets","2016-03-21",84.5,"Cleveland Cavaliers, Denver Nuggets (03/21/2016)",3,24,13.5,0
"Cleveland Cavaliers","Houston Rockets","2016-03-29",166,"Cleveland Cavaliers, Houston Rockets (03/29/2016)",3,15,9,0
"Cleveland Cavaliers","Indiana Pacers","2016-02-29",86.52,"Cleveland Cavaliers, Indiana Pacers (02/29/2016)",3,14,8.5,0
"Cleveland Cavaliers","Memphis Grizzlies","2016-03-07",109,"Cleveland Cavaliers, Memphis Grizzlies (03/07/2016)",3,7,5,0
"Cleveland Cavaliers","Milwaukee Bucks","2016-03-23",87.275,"Cleveland Cavaliers, Milwaukee Bucks (03/23/2016)",3,23,13,0
"Cleveland Cavaliers","Washington Wizards","2016-03-04",185.5,"Cleveland Cavaliers, Washington Wizards (03/04/2016)",3,20,11.5,0
"Cleveland Cavaliers","Detroit Pistons","2016-02-22",77,"Cleveland Cavaliers, Detroit Pistons (02/22/2016)",3,13,8,0
"Cleveland Cavaliers","Detroit Pistons","2016-04-13",84.485,"Cleveland Cavaliers, Detroit Pistons (04/13/2016)",3,13,8,0
"Cleveland Cavaliers","New Orleans Pelicans","2016-02-06",177.19,"Cleveland Cavaliers, New Orleans Pelicans (02/06/2016)",3,25,14,0
"Cleveland Cavaliers","Sacramento Kings","2016-02-08",96.45,"Cleveland Cavaliers, Sacramento Kings (02/08/2016)",3,22,12.5,0
"Cleveland Cavaliers","Atlanta Hawks","2016-04-11",82.5,"Cleveland Cavaliers, Atlanta Hawks (04/11/2016)",3,9,6,0
"Cleveland Cavaliers","Brooklyn Nets","2016-03-31",92,"Cleveland Cavaliers, Brooklyn Nets (03/31/2016)",3,28,15.5,0
"Cleveland Cavaliers","Los Angeles Lakers","2016-02-10",303.49,"Cleveland Cavaliers, Los Angeles Lakers (02/10/2016)",3,29,16,0
"Oklahoma City Thunder","Cleveland Cavaliers","2016-02-21",325,"Oklahoma City Thunder, Cleveland Cavaliers (02/21/2016)",4,3,3.5,1
"Oklahoma City Thunder","Golden State Warriors","2016-02-27",438.1,"Oklahoma City Thunder, Golden State Warriors (02/27/2016)",4,1,2.5,1
"Oklahoma City Thunder","Houston Rockets","2016-03-22",156.98,"Oklahoma City Thunder, Houston Rockets (03/22/2016)",4,15,9.5,0
"Oklahoma City Thunder","Indiana Pacers","2016-02-19",141.54,"Oklahoma City Thunder, Indiana Pacers (02/19/2016)",4,14,9,0
"Oklahoma City Thunder","Orlando Magic","2016-02-03",50,"Oklahoma City Thunder, Orlando Magic (02/03/2016)",4,21,12.5,0
"Oklahoma City Thunder","Washington Wizards","2016-02-01",41.22,"Oklahoma City Thunder, Washington Wizards (02/01/2016)",4,20,12,0
"Oklahoma City Thunder","Los Angeles Clippers","2016-03-09",179.31,"Oklahoma City Thunder, Los Angeles Clippers (03/09/2016)",4,6,5,0
"Oklahoma City Thunder","Los Angeles Clippers","2016-03-31",182.74,"Oklahoma City Thunder, Los Angeles Clippers (03/31/2016)",4,6,5,0
"Oklahoma City Thunder","New Orleans Pelicans","2016-02-11",125,"Oklahoma City Thunder, New Orleans Pelicans (02/11/2016)",4,25,14.5,0
"Oklahoma City Thunder","Portland Trail Blazers","2016-03-14",140.86,"Oklahoma City Thunder, Portland Trail Blazers (03/14/2016)",4,17,10.5,0
"Oklahoma City Thunder","Utah Jazz","2016-03-24",105.8,"Oklahoma City Thunder, Utah Jazz (03/24/2016)",4,18,11,0
"Oklahoma City Thunder","Los Angeles Lakers","2016-04-11",390,"Oklahoma City Thunder, Los Angeles Lakers (04/11/2016)",4,29,16.5,0
"Oklahoma City Thunder","Minnesota Timberwolves","2016-03-11",139.22,"Oklahoma City Thunder, Minnesota Timberwolves (03/11/2016)",4,27,15.5,0
"Oklahoma City Thunder","San Antonio Spurs","2016-03-26",290.845,"Oklahoma City Thunder, San Antonio Spurs (03/26/2016)",4,2,3,1
"Toronto Raptors","Boston Celtics","2016-03-18",115,"Toronto Raptors, Boston Celtics (03/18/2016)",5,11,8,0
"Toronto Raptors","Charlotte Hornets","2016-04-05",82.02,"Toronto Raptors, Charlotte Hornets (04/05/2016)",5,16,10.5,0
"Toronto Raptors","Chicago Bulls","2016-03-14",131.72,"Toronto Raptors, Chicago Bulls (03/14/2016)",5,10,7.5,0
"Toronto Raptors","Cleveland Cavaliers","2016-02-26",218.375,"Toronto Raptors, Cleveland Cavaliers (02/26/2016)",5,3,4,1
