Year,e45
1881–1890,68
1891–1900,69
1901–1910,69.8
1920–1922,71
1932–1934,71.9
1946–1948,71.8
1953–1955,72.2
1960–1962,72.4
1965–1967,72
1970–1972,72.1
1975–1977,73.3
1980–1982,74.5
1985–1987,75.8
1990–1992,77
1993–1995,77.5
1994–1996,77.8
1995–1997,78.1
1996–1998,78.4
1997–1999,78.8
1998–2000,79.1
1999–2001,79.5
2000–2002,79.7
2001–2003,80
2002–2004,80.2
2003–2005,80.6
2004–2006,80.7
2005–2007,81
2006–2008,81.1
2007–2009,81.3
2008–2010,81.3
2009–2011,81.6
2010–2012,81.7
2011–2013,81.8
2012–2014,82
2013–2015,82.1
2014–2016,82.1
2015–2017,82.16683
