Name,page,Category,Paper 1,paper_1_link,Paper 2,paper_2_link
"Ackert, Elizabeth",https://lizackert.com/,"Family, social demography",New Destinations and the Early Childhood Education of Mexican-Origin Children,https://doi.org/10.1007/s13524-019-00814-1,"Maternal Employment, Community Contexts, and the Child_Care Arrangements of Diverse Groups",https://doi.org/10.1111/jomf.12501
"Airlshire, Jennifer",https://gero.usc.edu/faculty/ailshire/,"Migration, environment, economic demography",Fine particulate matter air pollution and cognitive function among older US adults,https://doi.org/10.1093/aje/kwu155,Family relationships and troubled sleep among US adults: examining the influences of contact frequency and relationship quality,https://doi.org/10.1177/0022146512446642
"Akokuwebe, Monica Ewomazino",https://scholar.google.com/citations?user=owZlBCoAAAAJ&hl=en,"Family, social demography","Prevalence, risk-inducing lifestyle, and perceived susceptibility to kidney diseases by gender among Nigerians residents in South Western Nigeria",10.4314/ahs.v20i2.40,"Socio-economic determinants of kidney disease among residents in Nigerian communities in Lagos State, Nigeria",10.5001/omj.2019.81
"Alkema, Leontine",https://leontinealkema.github.io/alkema_lab/,"Mathematical, statistical, digital demography, population projection",perceived susceptibility to kidney diseases by gender among Nigerians residents in South,https://link.springer.com/content/pdf/10.1007/s13524-011-0040-5.pdf,Global estimation of child mortality using a Bayesian B-spline bias-reduction model,https://www.jstor.org/stable/24522377?seq=1#metadata_info_tab_contents
"Allen, Liz",https://researchers.anu.edu.au/researchers/allen-e,"Mortality, health, aging, biodemography",The Future of Us,https://www.bookdepository.com/Future-Us-Liz-Allen/9781742236506,Post-separation patterns of children's overnight stays with each parent: A detailed snapshot,https://www.tandfonline.com/doi/abs/10.5172/jfs.2012.18.2-3.202
"Allendorf, Keera",https://sites.google.com/view/keeraallendorf/,"Family, social demography",Another Gendered Demographic Dividend: Adjusting to a Future without Sons,https://onlinelibrary.wiley.com/doi/10.1111/padr.12337,Caste and Choice: The Influence of Developmental Idealism on Marriage Behavior,https://www.journals.uchicago.edu/doi/10.1086/681968
"Alves, Luciana",https://www.ifch.unicamp.br/ifch/colaboradores/demografia/606/Luciana%20Correia%20Alves,"Mortality, health, aging, biodemography",Health profile of the elderly in Brazil: analysis of the 2003 National Household Sample Survey using the grade of Membership method,https://pubmed.ncbi.nlm.nih.gov/18327441/,"Determinantes da autopercepcao de saude entre idosos do Municipio de Sao Paulo, Brasil",https://www.scielosp.org/article/rpsp/2005.v17n5-6/333-341/pt/
"Amaral, Luciana Luz do",http://somos.ufmg.br/professor/luciana-soares-luz-do-amaral,Fertility,Bridging user and provider perspectives: Family planning access and utilization in rural Mozambique,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4609646/,Women’s decision-making autonomy and children’s schooling in rural Mozambique,https://pubmed.ncbi.nlm.nih.gov/26491400/
"Augustine, Jennifer",https://www.sc.edu/study/colleges_schools/artsandsciences/sociology/our_people/faculty_staff_directory/augustine_jennifer.php,"Family, social demography","Doing it All? Mothers’ College Enrollment, Time Use, and Affective Well-Being",https://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.12477,Can Increased Educational Attainment among Lower Educated Mothers Reduce Inequalities in the Skill Development of Children? ,https://link.springer.com/article/10.1007/s13524-017-0637-4
"Bachrach, Christine",https://www.popcenter.umd.edu/mprc-associates/chrisbachrach,"Family, social demography",A Cognitive-Social Model of Fertility Intentions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132897/,Culture and Demography: From Reluctant Bedfellows to Committed Partners,https://link.springer.com/content/pdf/10.1007/s13524-013-0257-6.pdf
"Baker, Elizabeth",https://www.uab.edu/cas/sociology/people/faculty-directory/elizabeth-baker,"Mortality, health, aging, biodemography",Epidemiological Paradox or Immigrant Vulnerability? Obesity among Young Children of Immigrants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4534321/," Maternal Ratings of Child Health and Child Obesity, Variations by Mother's Race/Ethnicity and Nativity. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4393351/
"Balbo, Nicoletta",https://scholar.google.com/citations?user=Us2QJz4AAAAJ&hl=en,Fertility,Fertility in Advanced Societies: A Review of Research,https://link.springer.com/content/pdf/10.1007/s10680-012-9277-y.pdf,Does Fertility Behavior Spread among Friends?,https://journals.sagepub.com/doi/full/10.1177/0003122414531596
"Baranowska-Rataj, Anna",https://www.umu.se/en/staff/anna-baranowska-rataj/,"Family, social demography",Does parenthood increase happiness? Evidence for Poland,https://www.jstor.org/stable/41342815?seq=1#metadata_info_tab_contents,The effect of number of siblings on adult mortality: Evidence from Swedish registers for cohorts born between 1938 and 1972,https://www.tandfonline.com/doi/full/10.1080/00324728.2016.1260755
"Barber, Jennifer",https://sociology.indiana.edu/about/faculty/barber-jennifer.html,"Family, social demography",The Dynamics of Intimate Relationships and Contraceptive Use during Emergent Adulthood,https://pubmed.ncbi.nlm.nih.gov/32901407/,Black-White Differences in Attitudes Related to Pregnancy Among Young Women,https://pubmed.ncbi.nlm.nih.gov/25962867/
"Barbi, Elisabetta",https://www.dss.uniroma1.it/it/dipartimento/persone/barbi-elisabetta,"Mortality, health, aging, biodemography",The plateau of human mortality: Demography of longevity pioneers,https://science.sciencemag.org/content/360/6396/1459.full?ijkey=7YwUWtPpfqk9A&keytype=ref&siteid=sci,Response to Comment on “The plateau of human mortality: Demography of longevity pioneers”,https://doi.org/10.1126/science.aav3229
"Barbieri, Magali",https://www.site.demog.berkeley.edu/barbieri-profile-page,"Mortality, health, aging, biodemography",The contribution of drug-related deaths to the US disadvantage in mortality,https://academic.oup.com/ije/article-abstract/48/3/945/5265302,Data Resource Profile: The Human Mortality Database (HMD) ,HMD ]https://academic.oup.com/ije/article/44/5/1549/2594557
"Basu, Alaka",https://devsoc.cals.cornell.edu/people/alaka-basu/,"Family, social demography",The Sociocultural and Political Aspects of Abortion: Global Perspectives,https://books.google.ca/books?hl=en&lr=&id=YNY8NqdsA6UC&oi=fnd&pg=PP13&dq=The+Social+and+Political+Context+of+Abortion+basu&ots=l1t2WhWdmL&sig=BvGr6jpvoh7caAVlUrHs3nRRC4E#v=onepage&q=The%20Social%20and%20Political%20Context%20of%20Abortion%20basu&f=false,"Conditioning Factors for Fertility Decline in Bengal: History, Language Identity, and Openness to Innovations",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4457.2000.00761.x
"Baudisch, Annette",https://portal.findresearcher.sdu.dk/en/persons/baudisch,"Mortality, health, aging, biodemography",Hamilton's indicators of the force of selection,https://www.pnas.org/content/102/23/8263.short,Getting to the Root of Aging,https://science.sciencemag.org/content/338/6107/618.summary
"Beaujouan, Eva",http://www.wittgensteincentre.org/en/staff/member/beaujouan.htm,Fertility,Latest-Late Fertility? Decline and Resurgence of Late Parenthood Across the Low-Fertility Countries,https://onlinelibrary.wiley.com/doi/full/10.1111/padr.12334,Declining realisation of reproductive intentions with age,https://academic.oup.com/humrep/article-abstract/34/10/1906/5575324?redirectedFrom=fulltext
"Behrman, Julia",https://www.sociology.northwestern.edu/people/faculty/core/julia-behrman.html,"Family, social demography",Do Targeted Stipend Programs Reduce Gender and Socioeconomic Inequalities in Schooling Attainment? Insights From Rural Bangladesh,https://link.springer.com/article/10.1007/s13524-015-0435-9,Contextual Declines in Educational Hypergamy and Intimate Partner Violence,https://academic.oup.com/sf/article-abstract/97/3/1257/5078440
"Bernard, Aude",https://sees.uq.edu.au/profile/10064/aude-bernard,"Migration, environment, economic demography",Life‐course transitions and the age profile of internal migration,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4457.2014.00671.x,Improved measures for the cross-national comparison of age profiles of internal migration,https://www.tandfonline.com/doi/abs/10.1080/00324728.2014.890243
